URL,productImage ,imageBack,Headline,Description ,price,rating
https://www.ikea.com/rs/sr/p/idanaes-stocic-za-kafu-bela-40500005/,https://www.ikea.com/rs/sr/images/products/idanaes-stocic-za-kafu-bela__1161072_pe889280_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/idanaes-stocic-za-kafu-bela__1161070_pe889278_s5.jpg?f=xxs,IDANÄS,"Stočić za kafu, bela, 80x80 cm",27.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/vittsjoe-postolje-za-laptop-crnosmeda-staklo-00250249/,https://www.ikea.com/rs/sr/images/products/vittsjoe-postolje-za-laptop-crnosmeda-staklo__0176250_pe329143_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/vittsjoe-postolje-za-laptop-crnosmeda-staklo__0855294_pe564652_s5.jpg?f=xxs,VITTSJÖ,"Postolje za laptop, crnosmeđa/staklo, 35x65 cm",2.499,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/jaettesta-pomocni-stocic-bela-svetli-bambus-60538795/,https://www.ikea.com/rs/sr/images/products/jaettesta-pomocni-stocic-bela-svetli-bambus__1154350_pe886006_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/jaettesta-pomocni-stocic-bela-svetli-bambus__1191858_pe900733_s5.jpg?f=xxs,JÄTTESTA,"Pomoćni stočić, bela/svetli bambus, 95x30 cm",12.999,Pregled: 4.8 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/nordviken-produzivi-sto-rusticno-bajcovano-80488544/,https://www.ikea.com/rs/sr/images/products/nordviken-produzivi-sto-rusticno-bajcovano__1482451_pe1001019_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/nordviken-produzivi-sto-rusticno-bajcovano__1339980_pe948485_s5.jpg?f=xxs,NORDVIKEN,"Produživi sto, rustično bajcovano, 152/223x95 cm",62.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/skalsta-ploca-stola-svetla-sivobez-80611662/,https://www.ikea.com/rs/sr/images/products/skalsta-ploca-stola-svetla-sivobez__1411016_pe973023_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/skalsta-ploca-stola-svetla-sivobez__1449032_pe989744_s5.jpg?f=xxs,SKÅLSTA,"Ploča stola, svetla sivobež, 140x80 cm",6.999,Pregled: 4.3 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/olseroed-pomocni-stocic-boja-antracita-tamnosiva-40530917/,https://www.ikea.com/rs/sr/images/products/olseroed-pomocni-stocic-boja-antracita-tamnosiva__1150823_pe884681_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/olseroed-pomocni-stocic-boja-antracita-tamnosiva__1157498_pe887720_s5.jpg?f=xxs,OLSERÖD,"Pomoćni stočić, boja antracita/tamnosiva, 53x50 cm",3.999,Pregled: 4 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/pinntorp-sto-svetlosmede-bajcovano-crveno-bajcovano-40529462/,https://www.ikea.com/rs/sr/images/products/pinntorp-sto-svetlosmede-bajcovano-crveno-bajcovano__1118107_pe872930_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/pinntorp-sto-svetlosmede-bajcovano-crveno-bajcovano__1118108_pe872929_s5.jpg?f=xxs,PINNTORP,"Sto, svetlosmeđe bajcovano/crveno bajcovano, 125x75 cm",12.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/lisabo-sto-crna-jasenov-furnir-80382439/,https://www.ikea.com/rs/sr/images/products/lisabo-sto-crna-jasenov-furnir__0737106_pe740884_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/lisabo-sto-crna-jasenov-furnir__1470753_pe996930_s5.jpg?f=xxs,LISABO,"Sto, crna/jasenov furnir, 140x78 cm",19.999,Pregled: 4.6 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/tanebro-pomocni-stocic-unutra-spolja-bledozuta-70605162/,https://www.ikea.com/rs/sr/images/products/tanebro-pomocni-stocic-unutra-spolja-bledozuta__1463962_pe994553_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/tanebro-pomocni-stocic-unutra-spolja-bledozuta__1460902_pe994048_s5.jpg?f=xxs,TÅNEBRO,"Pomoćni stočić, unutra/spolja/bledožuta, 46 cm",2.499,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
https://www.ikea.com/rs/sr/p/tonstad-produzivi-sto-hrastov-furnir-10562504/,https://www.ikea.com/rs/sr/images/products/tonstad-produzivi-sto-hrastov-furnir__1467535_pe995758_s5.jpg?f=xxs,https://www.ikea.com/rs/sr/images/products/tonstad-produzivi-sto-hrastov-furnir__1444140_pe987390_s5.jpg?f=xxs,TONSTAD,"Produživi sto, hrastov furnir, 80/120x70 cm",24.999,Pregled: 4.7 od 5 Zvezdice. Ukupno recenzija:
